Freq.	V(n001)
2.88403150312660e+00	9.99697431565923e-01,-1.81185376013839e-02
2.95120922666638e+00	9.99681963426881e-01,-1.85402857320617e-02
3.01995172040201e+00	9.99665766809850e-01,-1.89718371348420e-02
3.09029543251359e+00	9.99648807432182e-01,-1.94134186920329e-02
3.16227766016837e+00	9.99631049400302e-01,-1.98652624660613e-02
3.23593656929628e+00	9.99612455134254e-01,-2.03276058126685e-02
3.31131121482591e+00	9.99592985288723e-01,-2.08006914962091e-02
3.38844156139202e+00	9.99572598670388e-01,-2.12847678070632e-02
3.46736850452531e+00	9.99551252151435e-01,-2.17800886811783e-02
3.54813389233575e+00	9.99528900579052e-01,-2.22869138217389e-02
3.63078054770101e+00	9.99505496680718e-01,-2.28055088229706e-02
3.71535229097172e+00	9.99480990965106e-01,-2.33361452960804e-02
3.80189396320560e+00	9.99455331618380e-01,-2.38791009973270e-02
3.89045144994280e+00	9.99428464395708e-01,-2.44346599582126e-02
3.98107170553496e+00	9.99400332507733e-01,-2.50031126177915e-02
4.07380277804112e+00	9.99370876501810e-01,-2.55847559570728e-02
4.16869383470335e+00	9.99340034137750e-01,-2.61798936354968e-02
4.26579518801592e+00	9.99307740257830e-01,-2.67888361294637e-02
4.36515832240165e+00	9.99273926650812e-01,-2.74119008728775e-02
4.46683592150962e+00	9.99238521909697e-01,-2.80494123996688e-02
4.57088189614874e+00	9.99201451282931e-01,-2.87017024882522e-02
4.67735141287197e+00	9.99162636518788e-01,-2.93691103078595e-02
4.78630092322637e+00	9.99121995702591e-01,-3.00519825666996e-02
4.89778819368445e+00	9.99079443086487e-01,-3.07506736618618e-02
5.01187233627271e+00	9.99034888911426e-01,-3.14655458308918e-02
5.12861383991364e+00	9.98988239220995e-01,-3.21969693049506e-02
5.24807460249771e+00	9.98939395666768e-01,-3.29453224634525e-02
5.37031796370252e+00	9.98888255304775e-01,-3.37109919900751e-02
5.49540873857623e+00	9.98834710382717e-01,-3.44943730300082e-02
5.62341325190348e+00	9.98778648117514e-01,-3.52958693483158e-02
5.75439937337156e+00	9.98719950462767e-01,-3.61158934892415e-02
